relative,id.joana,cam.id,type,species,pop.me,accession,altitude,alt.type,side,type.gmk,tip.label,type.tree,mean.depth.wg.withzeros,seq.round,subsp,in.tree,in.tree.supp.balanced,in.main.text.tree,latitude,longitude,notes
erato,15N195,15N195,eraCvlowW,erato,era.co.w.ped,,4,low,west,CvlowW,,,7.66,Curran.WG.17,venus,no,,,,,
erato,15N238,15N238,eraCvlowW,erato,era.co.w.ama,,76,low,west,CvlowW,era. low Col. W,erato.lowland,15.78,Curran.16.batch2,venus,no,yes,yes,,,
erato,15N239,15N239,eraCvlowW,erato,era.co.w.ama,,76,low,west,CvlowW,,,17.14,Curran.16.batch2,venus,no,yes,,,,
erato,15N241,15N241,eraCvlowW,erato,era.co.w.ama,,76,low,west,CvlowW,,,15.28,Curran.16.batch2,venus,no,yes,,,,
erato,15N261,15N261,eraCvlowW,erato,era.co.w.ama,,76,low,west,CvlowW,,,15.61,Curran.16.batch2,venus,no,yes,,,,
erato,CS000289,CS000289,eraCvlowW,erato,era.co.w.lad,ERS4212808,34,low,west,CvlowW,,,5.86,BGI.round.3.18,venus,no,yes,,,,
erato,L4_CS000632,CS000632,eraCvlowW,erato,era.co.w.lad,ERS4212819,34,low,west,CvlowW,,,6.84,BGI.round.3.18,venus,no,,,,,
erato,CAM011441,CAM011441,eraEhighE,erato,era.ec.e.rev,ERS4212693,1312,high,east,EhighE,era. high Ecu. E,erato.highland,14.98,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040227,CAM040227,eraEhighE,erato,era.ec.e.r,ERS4212695,1120,high,east,EhighE,,,15.89,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040232,CAM040232,eraEhighE,erato,era.ec.e.r,ERS4212696,1120,high,east,EhighE,era. high Ecu. E,erato.highland,16.83,Novo.Ec.dec17,lativitta,yes,yes,yes,,,
erato,CAM040236,CAM040236,eraEhighE,erato,era.ec.e.r,ERS4201864,1210,high,east,EhighE,,,5.33,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040239,CAM040239,eraEhighE,erato,era.ec.e.r,ERS4201865,1150,high,east,EhighE,,,4.67,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040241,CAM040241,eraEhighE,erato,era.ec.e.r,ERS4201866,1150,high,east,EhighE,,,4.3,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040705,CAM040705,eraEhighE,erato,era.ec.e.rev,ERS4201869,1312,high,east,EhighE,,,4.47,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040706,CAM040706,eraEhighE,erato,era.ec.e.rev,ERS4201870,1312,high,east,EhighE,,,7.01,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM041044,CAM041044,eraEhighE,erato,era.ec.e.r,ERS4201890,1167,high,east,EhighE,,,5.39,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040701,CAM040701,eraEhighE.1,erato,era.ec.e.rev,ERS4212702,1312,high,east,EhighE,,,15.89,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040702,CAM040702,eraEhighE.1,erato,era.ec.e.rev,ERS4212703,1312,high,east,EhighE,,,16.35,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040321,CAM040321,eraEhighW,erato,era.ec.w.min,ERS4199169,1368,high,west,EhighW,,,7.57,BGI.round.1.17,cyrbia,yes,,,,,
erato,CAM040361,CAM040361,eraEhighW,erato,era.ec.w.min,ERS4199162,1368,high,west,EhighW,,,6.41,BGI.round.1.17,cyrbia,yes,,,,,
erato,CAM040365,CAM040365,eraEhighW,erato,era.ec.w.pac,ERS4199164,1157,high,west,EhighW,,,7,BGI.round.1.17,cyrbia,yes,,,,,
erato,CAM040404,CAM040404,eraEhighW,erato,era.ec.w.pac,ERS4199166,1130,high,west,EhighW,,,6.83,BGI.round.1.17,cyrbia,yes,,,,,
erato,CAM040413,CAM040413,eraEhighW,erato,era.ec.w.pac,ERS4199168,1157,high,west,EhighW,,,6.61,BGI.round.1.17,cyrbia,yes,,,,,
erato,CAM040545,CAM040545,eraEhighW,erato,era.ec.w.pac,ERS4212580,1201,high,west,EhighW,era. high Ecu. W,erato.highland,16.82,Novo.Ec.dec17,cyrbia,yes,yes,yes,,,
erato,CAM040578,CAM040578,eraEhighW,erato,era.ec.w.pac,ERS4212671,1057,high,west,EhighW,,,17.82,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040584,CAM040584,eraEhighW,erato,era.ec.w.pac,ERS4212672,1086,high,west,EhighW,,,17.51,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040594,CAM040594,eraEhighW,erato,era.ec.w.pac,ERS4212673,1115,high,west,EhighW,,,15.98,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040952,CAM040952,eraEhighW,erato,era.ec.w.min,ERS4212692,1230,high,west,EhighW,,,18.24,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM002836,CAM002836,eraEvlowE,erato,era.ec.e.yas,ERS4201831,230,low,east,EvlowE,,,7.89,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040434,CAM040434,eraEvlowE,erato,era.ec.e.yas,ERS4212697,230,low,east,EvlowE,era. low Ecu. E,erato.lowland,16.13,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040435,CAM040435,eraEvlowE,erato,era.ec.e.yas,ERS4212698,230,low,east,EvlowE,era. low Ecu. E,erato.lowland,18.32,Novo.Ec.dec17,lativitta,yes,yes,yes,,,
erato,CAM040436,CAM040436,eraEvlowE,erato,era.ec.e.yas,ERS4212699,230,low,east,EvlowE,,,16.65,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040437,CAM040437,eraEvlowE,erato,era.ec.e.yas,ERS4212700,230,low,east,EvlowE,,,16.23,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM040438,CAM040438,eraEvlowE,erato,era.ec.e.yas,ERS4212701,230,low,east,EvlowE,,,16.83,Novo.Ec.dec17,lativitta,yes,yes,,,,
erato,CAM120589,CAM120589,eraEvlowE,erato,era.ec.e.a,ERS4201898,230,low,east,EvlowE,,,12.45,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM120738,CAM120738,eraEvlowE,erato,era.ec.e.a,ERS4201899,230,low,east,EvlowE,,,7.43,BGI.round.2.17,lativitta,no,,,,,
erato,SHM000340,SHM000340,eraEvlowE,erato,era.ec.e.yas,ERS4201905,230,low,east,EvlowE,,,8.73,BGI.round.2.17,lativitta,yes,,,,,
erato,SHM000341,SHM000341,eraEvlowE,erato,era.ec.e.yas,ERS4201906,230,low,east,EvlowE,,,14.12,BGI.round.2.17,lativitta,yes,,,,,
erato,CAM040743,CAM040743,eraEvlowW,erato,era.ec.w.pue,ERS4212679,130,low,west,EvlowW,,,16.31,Novo.Ec.dec17,cyrbia,no,,,,,
erato,CAM040834,CAM040834,eraEvlowW,erato,era.ec.w.ton,ERS4212681,77,low,west,EvlowW,era. low Ecu. W,erato.lowland,16.76,Novo.Ec.dec17,cyrbia,yes,yes,yes,,,
