"column_label","ran.hdr.name","piNota.minus.piLativ.min"
"2","ran2.hdr.58",-0.0000546999999999995
"2","ran2.hdr.59",-0.00095777
"2","ran2.hdr.6",-0.00039892
"2","ran2.hdr.60",0.0004971
"2","ran2.hdr.61",-0.000775500000000002
"2","ran2.hdr.62",-0.0107924
"2","ran2.hdr.63",-0.000775399999999999
"2","ran2.hdr.64",0.0011488
"2","ran2.hdr.65",-0.000317599999999999
"2","ran2.hdr.66",-0.0004131
"2","ran2.hdr.67",-0.001084
"2","ran2.hdr.68",-0.000448899999999999
"2","ran2.hdr.69",0.000255099999999999
"2","ran2.hdr.7",0.0000789059999999999
"2","ran2.hdr.70",-0.0016325
"2","ran2.hdr.71",-0.0005272
"2","ran2.hdr.72",-0.000388300000000001
"2","ran2.hdr.73",-0.0009751
"2","ran2.hdr.74",0.00018
