P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
hortense	clyEhighE	hermathena	0.00481052	0.477821	0.316389	0.00089294	25759.9	6228.14	6168.51
telhighE	clyEhighE	hermathena	0.0162169	2.57056	0.00507672	0.00445738	22829.4	9922.89	9606.19
hortense	clyEhighE	himHE	0.0629181	10.6809	nan	0.0107587	29089.8	8644.17	7620.81
telhighE	clyEhighE	himHE	0.0559594	10.612	nan	0.0142544	27032.1	13628.1	12183.7
hortense	clyEhighE	telhighE	0.0270473	2.63856	0.00416297	0.015104	13719.3	6144.41	5820.78
eraChighE	eraChighW	clyEhighW	0.0418273	10.4814	nan	0.0470503	80296.6	25231.5	23205.5
eraChighE	eraCvlowE	clyEhighW	0.00203476	0.959064	0.168763	0.00184561	88866.7	19682.1	19602.1
eraChighE	eraCvlowW	clyEhighW	0.0386229	9.79363	nan	0.0432416	80761.5	24968.8	23111.8
eraChighE	eraEhighE	clyEhighW	0.00312575	1.51837	0.0644611	0.00282176	89722.5	19596.8	19474.7
eraChighE	eraEhighW	clyEhighW	0.048729	11.0744	nan	0.0556346	79313.7	25631.5	23249.5
eraChighE	eraEvlowE	clyEhighW	0.00330005	2.14708	0.0158933	0.00298475	89141.2	19624.3	19495.2
eraChighE	eraEvlowW	clyEhighW	0.0473776	10.2534	nan	0.0539556	79275.2	25558.5	23246.2
eraChighE	hermathena	clyEhighW	0.0145381	2.31558	0.0102907	0.0150674	40074.6	20297.3	19715.6
eraChighE	himHE	clyEhighW	0.0300333	7.43516	5.22202e-14	0.0280459	81693.4	20144.7	18970
hortense	clyEhighW	eraChighE	0.0468688	7.95241	9.14579e-16	0.0121243	30931.2	9127.96	8310.64
telhighE	clyEhighW	eraChighE	0.0454104	11.2051	nan	0.0173202	28989.7	14357.6	13110.3
eraCvlowE	eraChighW	clyEhighW	0.0399808	12.5439	nan	0.0450217	79261.6	25149.7	23216
eraCvlowW	eraChighW	clyEhighW	0.00410034	2.10848	0.0174946	0.0034847	99526.2	17473.8	17331.1
eraEhighE	eraChighW	clyEhighW	0.0391217	10.9264	nan	0.0441501	79912	25137.9	23245.1
eraChighW	eraEhighW	clyEhighW	0.0108179	5.0382	2.3497e-07	0.00909088	99402.3	17326.4	16955.5
eraEvlowE	eraChighW	clyEhighW	0.0391584	10.837	nan	0.0441621	79385.3	25081.8	23191.5
eraChighW	eraEvlowW	clyEhighW	0.00888098	3.52187	0.000214256	0.00745456	99394.8	17248.3	16944.6
hermathena	eraChighW	clyEhighW	0.0338649	9.72479	nan	0.0368426	39117	21288.6	19894
himHE	eraChighW	clyEhighW	0.0187005	4.91543	4.42943e-07	0.0215945	75544.2	23787.7	22914.4
hortense	clyEhighW	eraChighW	0.0588485	10.7015	nan	0.0134736	29076.2	9262.49	8232.91
telhighE	clyEhighW	eraChighW	0.0652906	13.0536	nan	0.0219583	27203.6	14648.2	12852.6
eraCvlowE	eraCvlowW	clyEhighW	0.0369286	11.3068	nan	0.0413522	79793.1	24912	23137.6
eraCvlowE	eraEhighE	clyEhighW	0.000931969	0.490098	0.312032	0.000839926	89066.2	19503.4	19467.1
eraCvlowE	eraEhighW	clyEhighW	0.0471307	12.7776	nan	0.0536751	78227.6	25557.6	23257
eraCvlowE	eraEvlowE	clyEhighW	0.00119911	0.72151	0.235298	0.00108001	88780.3	19511.4	19464.7
eraCvlowE	eraEvlowW	clyEhighW	0.0457029	11.6786	nan	0.0521108	78212.8	25501.2	23272.1
eraCvlowE	hermathena	clyEhighW	0.0126205	2.39886	0.00822314	0.0129895	39978.8	20105.2	19604.1
eraCvlowE	himHE	clyEhighW	0.0281317	9.86253	nan	0.0259914	81385.5	19892.5	18803.9
hortense	clyEhighW	eraCvlowE	0.0470285	7.43218	5.34129e-14	0.0129296	30838.6	9126.84	8306.95
telhighE	clyEhighW	eraCvlowE	0.0467637	10.6982	nan	0.0189275	28837.5	14299.6	13021.9
eraEhighE	eraCvlowW	clyEhighW	0.0361435	10.9141	nan	0.0405554	80375	24890	23153.5
eraCvlowW	eraEhighW	clyEhighW	0.0151653	6.94532	1.88805e-12	0.0127218	99545.8	17436	16915.1
eraEvlowE	eraCvlowW	clyEhighW	0.036001	10.1485	nan	0.0403776	79907.6	24854.3	23126.9
eraCvlowW	eraEvlowW	clyEhighW	0.0132988	5.07632	1.92408e-07	0.0111614	99527.3	17391.5	16935
hermathena	eraCvlowW	clyEhighW	0.0314071	9.17884	nan	0.0342833	39128.9	21291.1	19994.4
himHE	eraCvlowW	clyEhighW	0.0155993	4.36103	6.47248e-06	0.0179214	75744.5	23640.9	22914.6
hortense	clyEhighW	eraCvlowW	0.0605363	11.3143	nan	0.0140629	29255.9	9294.86	8233.74
telhighE	clyEhighW	eraCvlowW	0.0666176	12.339	nan	0.0226582	27351	14683.1	12849
eraEhighE	eraEhighW	clyEhighW	0.0463861	11.6462	nan	0.0528485	78886.3	25518.1	23255.7
eraEhighE	eraEvlowE	clyEhighW	0.000268936	0.191236	0.42417	0.000241579	89352.6	19415.3	19404.9
eraEhighE	eraEvlowW	clyEhighW	0.0450401	10.4312	nan	0.0513939	78865.3	25463.3	23268.4
eraEhighE	hermathena	clyEhighW	0.0114844	1.96323	0.0248097	0.0118554	39831.5	20123	19666
eraEhighE	himHE	clyEhighW	0.0266698	8.658	2.38524e-18	0.0247323	81640.9	19899.8	18865.9
hortense	clyEhighW	eraEhighE	0.0504819	8.53925	6.77626e-18	0.0137916	30875.7	9170.78	8289.36
telhighE	clyEhighW	eraEhighE	0.0477519	10.6749	nan	0.0191204	28834.1	14331.1	13024.8
eraEvlowE	eraEhighW	clyEhighW	0.0460603	10.9581	nan	0.0525612	78429.3	25481.5	23237.5
eraEvlowW	eraEhighW	clyEhighW	0.00131343	0.963682	0.167603	0.00102306	103279	15747.6	15706.3
hermathena	eraEhighW	clyEhighW	0.042273	12.6948	nan	0.0460324	38843.8	21420.5	19682.9
himHE	eraEhighW	clyEhighW	0.0261678	6.4139	7.0921e-11	0.0303958	74930.4	24109.7	22880.1
hortense	clyEhighW	eraEhighW	0.0632833	11.037	nan	0.0141527	28710.8	9257.98	8155.97
telhighE	clyEhighW	eraEhighW	0.0684401	11.7372	nan	0.0224612	26789.2	14623.8	12750.3
eraEvlowE	eraEvlowW	clyEhighW	0.044991	9.99856	nan	0.051158	78405.8	25422.6	23233.5
eraEvlowE	hermathena	clyEhighW	0.0117706	2.06427	0.0194961	0.0121478	39784.7	20109.3	19641.4
eraEvlowE	himHE	clyEhighW	0.0269289	8.14491	1.8979e-16	0.0249957	81107.5	19940.3	18894.5
hortense	clyEhighW	eraEvlowE	0.0488368	8.25381	7.67073e-17	0.0134831	30824.7	9145.6	8293.91
telhighE	clyEhighW	eraEvlowE	0.0476688	10.9939	nan	0.0193263	28814.5	14313.4	13010.9
hermathena	eraEvlowW	clyEhighW	0.0426442	11.7359	nan	0.0464906	38817.5	21445.2	19691
himHE	eraEvlowW	clyEhighW	0.0251488	5.76055	4.19194e-09	0.0292565	74879.2	24072.7	22891.6
hortense	clyEhighW	eraEvlowW	0.0609774	10.2479	nan	0.0136444	28746.6	9202.62	8144.82
telhighE	clyEhighW	eraEvlowW	0.0661545	12.4798	nan	0.021791	26775.3	14568.2	12760.3
hermathena	himHE	clyEhighW	0.01512	2.99444	0.00137476	0.0154049	38042.2	19146.1	18575.7
hortense	clyEhighW	hermathena	0.0125782	1.268	0.102399	0.00233818	25666.2	6277.9	6121.93
telhighE	clyEhighW	hermathena	0.0169706	2.55551	0.0053016	0.0046834	22608.6	9940.99	9609.22
hortense	clyEhighW	himHE	0.0667714	8.85502	4.33681e-19	0.0114686	28943.3	8685.7	7598.38
telhighE	clyEhighW	himHE	0.0614643	11.8025	nan	0.0157784	26881.8	13731.3	12141.1
hortense	clyEhighW	telhighE	0.018132	1.60709	0.0540171	0.0100877	13723.2	6046.72	5831.35
eraCvlowE	eraChighE	eraChighW	0.0127493	4.227	1.18412e-05	0.0282864	63441.1	48150.6	46938.2
eraChighW	eraCvlowW	eraChighE	0.00996398	4.93382	4.03186e-07	0.0317406	73975.5	39766.8	38982.1
eraEhighE	eraChighE	eraChighW	0.00494006	2.72371	0.00322767	0.0110865	63895.5	47433.3	46967
eraEhighW	eraChighW	eraChighE	0.0120402	8.90336	2.71051e-19	0.0362946	74954.5	39349	38412.7
eraEvlowE	eraChighE	eraChighW	0.0104272	1.66855	0.0476036	0.0231556	63557.3	47845.6	46858.1
eraEvlowW	eraChighW	eraChighE	0.0115118	8.34436	3.57787e-17	0.034995	74980.5	39304.7	38410.1
