P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
heurippa	melEvlowE	melEhighW	0.0050536	0.354065	0.361645	0.0167774	71035.9	68666.3	67975.7
pachinus	melEhighW	heurippa	0.0061193	0.57733	0.281858	0.00632534	59911.9	62836.9	62072.5
heurippa	timEhighE	melEhighW	0.00624862	2.21279	0.0134562	0.0148505	92611.7	52881.8	52225
heurippa	timElowE	melEhighW	0.00595365	2.03054	0.021151	0.0142736	92538.8	53586.6	52952.3
heurippa	melEvlowE	melElowW	0.00539616	0.389295	0.348529	0.0157893	70904.6	68786.3	68047.9
pachinus	melElowW	heurippa	0.00718997	0.678783	0.248638	0.00745824	59757.4	63072.7	62172.2
heurippa	timEhighE	melElowW	0.00760687	2.92143	0.00174215	0.0159844	92390.5	52979.5	52179.5
heurippa	timElowE	melElowW	0.0070607	2.41146	0.00794435	0.0149514	92316.9	53646.3	52894
melEvlowE	heurippa	pachinus	0.235302	16.0103	nan	0.296704	72473.2	68842.3	42615.9
heurippa	timEhighE	melEvlowE	0.0490705	15.6442	nan	0.105386	81410.5	51485.6	46669.1
heurippa	timElowE	melEvlowE	0.0655912	14.9045	nan	0.142011	80383.4	52824.6	46321.5
timEhighE	heurippa	pachinus	0.0256788	7.5339	2.46238e-14	0.0331704	84407.6	44887.8	42640.2
timElowE	heurippa	pachinus	0.0495842	12.4088	nan	0.0625786	85109.6	46456	42066.7
timElowE	timEhighE	heurippa	0.00897551	3.3109	0.000464979	0.0100313	60237.5	47059.3	46222.1
melChighE	melCvlowE	melChighW	0.000952492	0.407808	0.341707	0.00219296	92167.7	62677.9	62558.6
melChighW	melCvlowW	melChighE	0.00308474	2.28901	0.0110394	0.00942173	99368.2	64683.3	64285.5
melEhighE	melChighE	melChighW	0.00324606	2.46326	0.00688403	0.00738664	90902.9	59983.2	59595.1
melEhighW	melChighW	melChighE	0.0219368	14.1436	nan	0.0648066	98224.7	67882.9	64968.6
melElowW	melChighW	melChighE	0.0192398	10.0559	nan	0.0572928	98026.2	67749.1	65191.3
melChighE	melEvlowE	melChighW	0.00367886	2.47332	0.00669326	0.00844547	88490.9	57923.3	57498.7
pachinus	melChighW	melChighE	0.223859	18.127	nan	0.442707	76457	86652.6	54952.9
timEhighE	melChighE	melChighW	0.0232477	1.76886	0.038459	0.0617934	83364.6	76198	72735.6
timElowE	melChighE	melChighW	0.0216234	1.61519	0.0531347	0.0569097	84113.9	75543.4	72345.5
melChighE	melCvlowE	melCvlowW	0.00280951	1.17002	0.120996	0.00919705	91646.7	62777.3	62425.5
melChighE	melEhighE	melCvlowE	0.0121841	5.82193	2.90856e-09	0.095923	60034.1	59123	57699.7
melCvlowE	melChighE	melEhighW	0.00663688	2.94007	0.0016407	0.0170334	95053.5	62568	61742.9
melCvlowE	melChighE	melElowW	0.00692948	3.35207	0.000401048	0.0157964	94733.6	62613	61751.2
melChighE	melEvlowE	melCvlowE	0.0220876	8.08523	3.10244e-16	0.178776	58481.7	57861	55360.2
melCvlowE	melChighE	pachinus	0.0500439	16.6736	nan	0.0487251	112113	52405.3	47410.1
melCvlowE	melChighE	timEhighE	0.0558993	14.3573	nan	0.106375	84592.2	62735.6	56093.2
melCvlowE	melChighE	timElowE	0.0509773	15.7891	nan	0.0981464	83169.6	62675.9	56595.8
melEhighE	melChighE	melCvlowW	0.00343445	2.24087	0.0125172	0.011066	90539.8	59928.3	59518.1
melEhighW	melCvlowW	melChighE	0.0249467	12.9475	nan	0.0734505	97888.5	67964.5	64656.1
melElowW	melCvlowW	melChighE	0.0222971	10.94	nan	0.0662669	97669.1	67817.9	64859.5
melChighE	melEvlowE	melCvlowW	0.00372194	2.21764	0.0132897	0.0121106	88132.9	57903.8	57474.3
pachinus	melCvlowW	melChighE	0.226054	18.5783	nan	0.448275	75723.5	87090.3	54975.7
timEhighE	melChighE	melCvlowW	0.0316743	2.37023	0.00888847	0.112278	83286.7	76465.8	71770.5
timElowE	melChighE	melCvlowW	0.0292949	2.16535	0.0151805	0.103501	84020.5	75777.1	71463.7
melEhighE	melChighE	melEhighW	0.00545802	3.36618	0.000381088	0.0140196	93445.9	59670.3	59022.5
melEhighE	melChighE	melElowW	0.00629126	3.5263	0.000210702	0.0142603	93199.6	59777.7	59030.2
melChighE	melEvlowE	melEhighE	0.0296245	12.4219	nan	0.264497	55035.8	57620	54304.3
melEhighE	melChighE	pachinus	0.00853694	3.49374	0.000238155	0.0086498	108569	48451.3	47631.1
melChighE	melEhighE	timEhighE	0.00641899	2.05449	0.0199641	0.0138755	80526.8	57822.9	57085.3
melChighE	melEhighE	timElowE	0.00689951	3.03819	0.00119003	0.014829	79228.1	57952.7	57158.5
melEhighW	melElowW	melChighE	0.00299324	2.39557	0.0082973	0.0080386	105883	60544.9	60183.5
melEvlowE	melChighE	melEhighW	0.00102303	0.698237	0.242514	0.00265085	91106.8	57331.8	57214.6
pachinus	melEhighW	melChighE	0.21121	17.0622	nan	0.404569	79120.2	83037.4	54077.4
timEhighE	melChighE	melEhighW	0.00184028	0.139111	0.444681	0.00588016	84295.3	74237.8	73965.1
timElowE	melChighE	melEhighW	0.00228618	0.171513	0.43191	0.00719991	85220.5	73744.6	73408.2
melEvlowE	melChighE	melElowW	0.00163265	1.17037	0.120926	0.00373629	90818.2	57417.5	57230.3
pachinus	melElowW	melChighE	0.21307	16.8304	nan	0.409099	78861	83316.9	54048.5
timEhighE	melChighE	melElowW	0.00197723	0.150086	0.440348	0.0055981	84033.4	74350.8	74057.3
timElowE	melChighE	melElowW	0.00296968	0.22362	0.411526	0.00830229	84987.3	73893.8	73456.3
melEvlowE	melChighE	pachinus	0.019184	8.34654	3.51282e-17	0.0191169	106870	47410.7	45625.9
melEvlowE	melChighE	timEhighE	0.0173833	6.08453	5.84173e-10	0.0362488	80144.6	56505.8	54574.8
melEvlowE	melChighE	timElowE	0.014671	7.06464	8.05155e-13	0.0306396	78759.1	56463	54830.2
melChighE	timEhighE	pachinus	0.202564	14.2882	nan	0.251474	85567.8	71817	47622.8
melChighE	timElowE	pachinus	0.185846	13.504	nan	0.228103	87479.3	70120.6	48142
timEhighE	timElowE	melChighE	0.0144491	7.86025	1.91687e-15	0.042602	93481.5	50130.8	48702.7
melChighW	melCvlowW	melCvlowE	0.00508439	4.26171	1.01433e-05	0.0140137	97726	63523.3	62880.7
melEhighE	melCvlowE	melChighW	0.00495174	2.34706	0.00946101	0.0111859	89223.7	59444.6	58858.8
melEhighW	melChighW	melCvlowE	0.0293492	15.1213	nan	0.0768019	97101	66970.7	63151.7
melElowW	melChighW	melCvlowE	0.0271214	11.134	nan	0.0714388	96918.4	66873.6	63342
melCvlowE	melEvlowE	melChighW	0.00260662	1.44043	0.0748726	0.00592671	87030.8	57135.1	56838
pachinus	melChighW	melCvlowE	0.262763	21.0737	nan	0.45804	77718.9	87835.2	51280.7
timEhighE	melCvlowE	melChighW	0.0230802	1.72728	0.0420583	0.063087	78581.8	78201.2	74672.9
timElowE	melCvlowE	melChighW	0.0221306	1.63302	0.0512323	0.059941	79590.1	77322.1	73973.9
melChighW	melCvlowW	melEhighE	0.00242064	1.89039	0.0293528	0.00635465	94744.6	61327	61030.8
melCvlowW	melChighW	melEhighW	0.000320972	0.39451	0.346602	0.0028338	70238.9	65525.4	65483.3
melCvlowW	melChighW	melElowW	0.00040834	0.500917	0.308215	0.00249451	70193	65404.5	65351.1
melChighW	melCvlowW	melEvlowE	0.00300757	2.2473	0.0123105	0.00724135	90899.4	59554	59196.9
melCvlowW	melChighW	pachinus	0.00721528	3.98996	3.30426e-05	0.00993799	96830.4	54038.2	53263.9
melCvlowW	melChighW	timEhighE	0.00699782	4.83159	6.77236e-07	0.0130235	100993	63712	62826.5
melCvlowW	melChighW	timElowE	0.00622667	4.24697	1.08341e-05	0.0114303	101068	63857	63066.7
melEhighW	melChighW	melEhighE	0.0248838	16.2748	nan	0.0628526	93756.6	64564.7	61429.5
melElowW	melChighW	melEhighE	0.0232513	12.5169	nan	0.0590562	93603.1	64502.3	61570.9
melEhighE	melEvlowE	melChighW	0.00691583	4.97218	3.31022e-07	0.0153142	87963.8	55219.1	54460.6
pachinus	melChighW	melEhighE	0.22946	18.5404	nan	0.414158	73726.9	83155.8	52116.3
timEhighE	melEhighE	melChighW	0.0206706	1.53851	0.0619625	0.0544092	80818	72640.8	69698.5
timElowE	melEhighE	melChighW	0.0189255	1.37847	0.084029	0.0496647	81438	71873.1	69203.2
melElowW	melEhighW	melChighW	0.000605416	0.554041	0.289776	0.00304006	73928.7	61444.9	61370.5
melEhighW	melChighW	melEvlowE	0.0272927	15.22	nan	0.0636107	90064.5	62797.5	59460.7
melChighW	melEhighW	pachinus	0.0323842	12.0756	nan	0.0463417	91645.9	56904.3	53334.4
melChighW	melEhighW	timEhighE	0.00243684	1.18816	0.117386	0.00474478	97658.4	65292	64974.5
melEhighW	melChighW	timElowE	0.000271776	0.148918	0.440809	0.000521822	97960.9	65371.3	65335.8
melElowW	melChighW	melEvlowE	0.0251868	11.1052	nan	0.0588817	89876.1	62690.9	59610.5
melChighW	melElowW	pachinus	0.0301471	14.8078	nan	0.0431246	91689.4	56736.4	53415.6
melChighW	melElowW	timEhighE	0.00478315	2.53934	0.00555303	0.00931607	97502.5	65539.5	64915.5
melChighW	melElowW	timElowE	0.00153441	0.824043	0.204958	0.00294272	97849	65542.8	65341.9
pachinus	melChighW	melEvlowE	0.242614	19.3743	nan	0.407756	71972.6	81884.7	49909.6
timEhighE	melEvlowE	melChighW	0.0254272	1.91164	0.0279612	0.0688316	77048.6	72439.4	68846.9
timElowE	melEvlowE	melChighW	0.0236015	1.73849	0.0410622	0.0636178	77752.3	71544.6	68245.3
pachinus	melChighW	timEhighE	0.0268515	2.96278	0.00152436	0.0546612	63263.9	70047	66383.6
pachinus	melChighW	timElowE	0.0452273	5.30256	5.70934e-08	0.0874722	64450.4	71452.8	65269.2
timEhighE	timElowE	melChighW	0.00296316	1.78703	0.0369666	0.00536045	105565	50419.8	50121.9
melEhighE	melCvlowE	melCvlowW	0.00705832	3.28444	0.00051093	0.0226136	88769	59545.4	58710.7
melEhighW	melCvlowW	melCvlowE	0.0344301	17.4871	nan	0.0899387	96652.5	67188.2	62715.6
melElowW	melCvlowW	melCvlowE	0.0322108	14.3975	nan	0.0846203	96433.5	67066.4	62880.7
melCvlowE	melEvlowE	melCvlowW	0.000693699	0.350869	0.362843	0.00225675	86572.4	57030.1	56951.1
pachinus	melCvlowW	melCvlowE	0.266586	21.6258	nan	0.466097	76912.8	88424.2	51201.9
timEhighE	melCvlowE	melCvlowW	0.0327496	2.39711	0.00826249	0.119655	78397	78617.1	73631
timElowE	melCvlowE	melCvlowW	0.0310301	2.25417	0.0120927	0.112733	79381.5	77683.6	73007.6
melCvlowE	melEhighE	melEhighW	0.000584633	0.283773	0.388292	0.00148926	92172.1	58722.7	58654.1
melEhighE	melCvlowE	melElowW	0.00029772	0.141932	0.443567	0.000670223	91928.3	58739.5	58704.5
melEhighE	melEvlowE	melCvlowE	0.00974477	4.84225	6.419e-07	0.0893685	57811.7	54622.1	53567.9
melCvlowE	melEhighE	pachinus	0.0415037	22.5574	nan	0.0399147	109227	49387.3	45451.2
melCvlowE	melEhighE	timEhighE	0.0627387	21.6816	nan	0.120005	82060	60278.1	53161.1
melCvlowE	melEhighE	timElowE	0.0581735	20.6362	nan	0.112039	80582.3	60182.7	53565.6
melEhighW	melElowW	melCvlowE	0.00246274	1.82785	0.0337863	0.00585792	105263	59236	58944.9
melCvlowE	melEvlowE	melEhighW	0.00556404	2.82849	0.00233841	0.0141206	90023.9	56825.2	56196.3
pachinus	melEhighW	melCvlowE	0.245109	19.3039	nan	0.412768	80743	83715.3	50755.4
melCvlowE	timEhighE	melEhighW	0.00359121	0.265253	0.395407	0.0116845	79967.9	76375.9	75829.3
melCvlowE	timElowE	melEhighW	0.00270915	0.199099	0.421092	0.00869545	81142.2	75485.8	75077.9
melCvlowE	melEvlowE	melElowW	0.00532612	2.80511	0.00251496	0.0119017	89750.1	56842.4	56240.1
pachinus	melElowW	melCvlowE	0.246488	19.2392	nan	0.416821	80537.3	84039.5	50802.6
melCvlowE	timEhighE	melElowW	0.0037386	0.277697	0.390622	0.0107508	79766.5	76499.4	75929.6
melCvlowE	timElowE	melElowW	0.00243634	0.180266	0.428472	0.00691532	80968.8	75580.7	75213.3
melCvlowE	melEvlowE	pachinus	0.0311699	14.9808	nan	0.0298227	107626	47198.8	44345.4
melCvlowE	melEvlowE	timEhighE	0.0396102	17.511	nan	0.0754763	81776.4	56876.3	52542.2
melCvlowE	melEvlowE	timElowE	0.0370855	16.4852	nan	0.0711939	80201.1	56884.2	52815.9
melCvlowE	timEhighE	pachinus	0.23633	18.0672	nan	0.288767	83244.3	75992.7	46940.1
melCvlowE	timElowE	pachinus	0.220742	17.3249	nan	0.26536	85454.2	74046.8	47267.6
timEhighE	timElowE	melCvlowE	0.0198021	10.8794	nan	0.0442427	98640.6	49446.6	47526.3
melEhighW	melCvlowW	melEhighE	0.0273002	15.0061	nan	0.0687859	93459.9	64616.8	61182.5
melElowW	melCvlowW	melEhighE	0.0256437	13.3959	nan	0.0650411	93289.6	64531.8	61304.8
melEhighE	melEvlowE	melCvlowW	0.00744399	5.27957	6.47432e-08	0.0233077	87615.7	55198.3	54382.6
pachinus	melCvlowW	melEhighE	0.231183	18.7885	nan	0.419691	73016.5	83529.7	52160.4
timEhighE	melEhighE	melCvlowW	0.0286996	2.07266	0.0191018	0.10169	80775.5	72862.1	68796.6
timElowE	melEhighE	melCvlowW	0.0261822	1.8593	0.031492	0.0922857	81395.3	72066.3	68388.9
melElowW	melEhighW	melCvlowW	0.000728178	0.59959	0.27439	0.0102507	74097.2	61558	61468.4
melEhighW	melCvlowW	melEvlowE	0.0303366	15.9067	nan	0.0705963	89765.5	62867.5	59165.5
melCvlowW	melEhighW	pachinus	0.0392992	14.2124	nan	0.0555473	92044.3	57310.2	52976
melCvlowW	melEhighW	timEhighE	0.00925208	3.90524	4.70655e-05	0.0177555	97947.4	65618.2	64415.1
melCvlowW	melEhighW	timElowE	0.00578495	2.70556	0.00340952	0.0109077	98163.7	65582.1	64827.7
melElowW	melCvlowW	melEvlowE	0.0281846	13.3232	nan	0.0659468	89577.3	62753.7	59313.3
melCvlowW	melElowW	pachinus	0.037021	14.2889	nan	0.0524857	92075.1	57169.3	53087.5
melCvlowW	melElowW	timEhighE	0.0115448	4.97534	3.25665e-07	0.0221594	97769.1	65834.6	64331.8
melCvlowW	melElowW	timElowE	0.0075667	3.20062	0.000685662	0.0143062	98035.6	65780.3	64792.3
pachinus	melCvlowW	melEvlowE	0.244543	19.6532	nan	0.413563	71324.8	82303.9	49959.8
timEhighE	melEvlowE	melCvlowW	0.0336198	2.46554	0.00684034	0.121863	76990.1	72693.7	67964.8
timElowE	melEvlowE	melCvlowW	0.0314922	2.26874	0.0116421	0.11411	77689.6	71796.4	67412.4
pachinus	melCvlowW	timEhighE	0.0206821	2.14402	0.0160158	0.0421099	63137.2	69837.8	67007.5
pachinus	melCvlowW	timElowE	0.0397233	4.3454	6.95096e-06	0.0767362	64260.9	71286	65839
timEhighE	timElowE	melCvlowW	0.00409886	2.66704	0.00382612	0.00996813	106282	50295.3	49884.7
melEhighW	melElowW	melEhighE	0.00184177	1.61152	0.0535334	0.0042285	101282	57333.3	57122.5
melEhighE	melEvlowE	melEhighW	0.00444645	2.84351	0.00223099	0.0110861	90659.2	54631.1	54147.4
pachinus	melEhighW	melEhighE	0.214594	17.0511	nan	0.375425	76365.1	79483.4	51397.2
melEhighE	timEhighE	melEhighW	0.00309018	0.227033	0.410199	0.00972984	81861.3	71031.5	70593.8
melEhighE	timElowE	melEhighW	0.00309326	0.224689	0.41111	0.00965993	82664	70400.2	69966
melEhighE	melEvlowE	melElowW	0.00481569	3.05673	0.00111882	0.0106227	90416.5	54706.4	54182.1
pachinus	melElowW	melEhighE	0.21556	16.6103	nan	0.376432	76181.1	79672.8	51415.4
melEhighE	timEhighE	melElowW	0.00374572	0.274948	0.391678	0.0104321	81689.5	71163.3	70632.2
melEhighE	timElowE	melElowW	0.00324705	0.236223	0.40663	0.00894551	82540	70529.3	70072.7
