bam.file.name,id,image.label,accession,secondary.accession,run.accession,locality,pop,pop.short,sp.short,country.short,side.short,pop.name,latitude,longitude,province,country,genus,species,subsp,sex,pheromones,altitude,sex.code,type,alt.type,size,shape,seq.round,count,mean.depth.wg.withzeros,to.use.bedassle,to.use.pbs,pca,check.pca.of.all.era.mel,path,bam.path,old.name,beagle.indiv.names
14N506.bam,14N506,14N506_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,F,n,532,1,ElowW,low,NA,NA,JE.NN.novogene.18,,29.76,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N506.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N506.bam,Ind13
14N507.bam,14N507,14N507_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,F,n,532,1,ElowW,low,NA,NA,JE.NN.novogene.18,,27.53,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N507.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N507.bam,Ind14
14N512.bam,14N512,14N512_d.JPG,ERS4212615,SAMEA6447052 ,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.22022,-78.88961,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,NA,ElowW,low,NA,NA,BGI.round.4.19,,7.29,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N512.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N512.bam,Ind15
15N004.bam,15N004,15N004_d.JPG,ERS3953822,SAMEA6153789,,Mashpi town (117),tortugo,tor,mel,ec,w,mel.ec.w.tor,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,542,NA,ElowW,low,NA,NA,BGI.round.4.19,,6.53,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N004.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N004.bam,Ind16
15N009.bam,15N009,15N009_d.JPG,ERS3953826,SAMEA6153793,,Mashpi town (117),tortugo,tor,mel,ec,w,mel.ec.w.tor,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,542,NA,ElowW,low,NA,NA,BGI.round.4.19,,7.69,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N009.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N009.bam,Ind17
15N016.bam,15N016,15N016_d.JPG,,,,Mashpi town (117),tortugo,tor,era,ec,w,era.ec.w.tor,0.17533,-78.90752,,Ecuador,Heliconius,erato,cyrbia,M,N,542,1,ElowW,low,NA,NA,Curran.WG.17,NA,8.41,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N016.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N016.bam,Ind1
15N017.bam,15N017,15N017_d.JPG,,,,Mashpi town (117),tortugo,tor,era,ec,w,era.ec.w.tor,0.17533,-78.90752,,Ecuador,Heliconius,erato,cyrbia,F,N,542,1,ElowW,low,NA,NA,Curran.WG.17,NA,8.12,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N017.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N017.bam,Ind2
15N020.bam,15N020,15N020_d.JPG,,,,Road to Mashpi 2 (116),pacto,pac,mel,ec,w,mel.ec.w.pac,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,n,1016,0,EhighW,hig,NA,NA,JE.NN.novogene.18,,25.35,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N020.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N020.bam,Ind18
15N036.bam,15N036,15N036_d.JPG,ERS4212617,SAMEA6447054 ,,Mashpi town (117),tortugo,tor,mel,ec,w,mel.ec.w.tor,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,542,NA,ElowW,low,NA,NA,BGI.round.4.19,,1.79,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N036.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N036.bam,Ind19
15N038.bam,15N038,15N038_d.JPG,,,,Mashpi town (117),tortugo,tor,mel,ec,w,mel.ec.w.tor,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,n,542,0,ElowW,low,NA,NA,JE.NN.novogene.18,,37.62,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N038.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N038.bam,Ind20
